team,unit,impact_gained,impact_lost,net_impact
Cle,Defense,3.65,0.0,3.65
Det,Defense,2.83,0.0,2.83
Bal,Defense,0.0,0.0,0.0
SF,Defense,0.0,0.0,0.0
Buf,Defense,0.0,0.0,0.0
NO,Defense,0.0,0.0,0.0
NE,Defense,0.0,0.0,0.0
KC,Defense,0.0,0.0,0.0
LAR,Defense,0.0,0.0,0.0
Ten,Defense,0.0,0.0,0.0
GB,Defense,0.0,0.0,0.0
Sea,Defense,0.0,0.0,0.0
Hou,Defense,0.0,0.0,0.0
TB,Defense,0.0,0.0,0.0
Min,Defense,0.0,0.0,0.0
Dal,Defense,0.0,0.0,0.0
NYJ,Defense,0.0,0.0,0.0
Pit,Defense,0.0,0.0,0.0
Atl,Defense,0.0,0.0,0.0
Chi,Defense,0.0,0.0,0.0
Ind,Defense,0.0,0.0,0.0
LAC,Defense,0.0,0.0,0.0
Den,Defense,0.0,0.0,0.0
Ari,Defense,0.0,0.0,0.0
Cin,Defense,0.0,0.0,0.0
Jac,Defense,0.0,0.0,0.0
LV,Defense,0.0,0.0,0.0
Car,Defense,0.0,0.0,0.0
Was,Defense,0.0,0.0,0.0
NYG,Defense,0.0,0.0,0.0
Mia,Defense,0.0,0.0,0.0
Phi,Defense,0.0,2.83,-2.83
